UDI,Machine ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Machine Name,Vibration [mm/s]
54,AF-01R1,M,301.1,310.3,1490,45.0,123.0,0,0,0,0,0,0,Annealing Furnace-01,2.19
118,AF-01R2,M,301.3,310.2,1404,50.5,73.0,0,0,0,0,0,0,Annealing Furnace-01,2.47
171,AF-01R3,M,306.3,315.6,1200,80.1,220.0,1,1,0,0,0,0,Annealing Furnace-01,3.89
221,AF-01R4,M,302.5,311.8,1278,58.1,110.0,1,0,0,1,0,0,Annealing Furnace-01,3.13
282,AF-01R5,M,305.4,314.1,1229,64.6,209.0,0,0,0,0,0,0,Annealing Furnace-01,1.5
339,AF-01R6,M,301.1,310.4,1492,47.6,127.0,0,0,0,0,0,0,Annealing Furnace-01,1.91
380,AF-01R7,M,301.2,310.1,1586,45.5,77.0,0,0,0,0,0,0,Annealing Furnace-01,1.24
431,AF-01R8,M,305.5,314.3,1200,66.5,227.0,0,0,0,0,0,0,Annealing Furnace-01,1.45
493,AF-01R9,M,300.7,310.5,1474,42.4,82.0,0,0,0,0,0,0,Annealing Furnace-01,0.38
61,AF-02R1,M,301.9,310.7,1564,44.7,123.0,0,0,0,0,0,0,Annealing Furnace-02,1.63
119,AF-02R2,M,307.9,323.89,1527,51.13,181.99,1,0,0,0,1,0,Annealing Furnace-02,4.24
173,AF-02R3,M,305.6,314.3,1204,68.5,222.0,0,0,0,0,0,0,Annealing Furnace-02,0.89
225,AF-02R4,M,298.3,309.3,1605,37.1,25.0,0,0,0,0,0,0,Annealing Furnace-02,1.74
283,AF-02R5,M,299.2,308.8,1597,34.0,25.0,0,0,0,0,0,0,Annealing Furnace-02,0.47
341,AF-02R6,M,301.8,310.9,1540,39.5,86.0,0,0,0,0,0,0,Annealing Furnace-02,1.97
382,AF-02R7,M,298.4,309.3,1558,36.6,19.0,0,0,0,0,0,0,Annealing Furnace-02,2.03
432,AF-02R8,M,300.3,309.5,1442,45.0,57.0,0,0,0,0,0,0,Annealing Furnace-02,1.29
494,AF-02R9,M,313.08,331.25,1310,74.45,277.39,1,0,0,0,0,1,Annealing Furnace-02,6.64
46,BC-01R1,M,301.0,309.1,1607,38.6,67.0,0,0,0,0,0,0,Billet Caster-01,0.38
109,BC-01R2,M,305.2,314.7,1200,67.9,224.0,0,0,0,0,0,0,Billet Caster-01,1.53
161,BC-01R3,M,303.7,312.5,1392,55.1,176.0,0,0,0,0,0,0,Billet Caster-01,0.73
212,BC-01R4,M,300.5,310.0,1401,49.2,67.0,0,0,0,0,0,0,Billet Caster-01,1.68
272,BC-01R5,M,299.6,309.8,1534,46.5,38.0,0,0,0,0,0,0,Billet Caster-01,1.04
324,BC-01R6,M,302.6,311.1,1425,51.1,108.0,0,0,0,0,0,0,Billet Caster-01,1.5
372,BC-01R7,M,308.22,322.68,1562,60.46,107.55,1,1,0,0,0,0,Billet Caster-01,7.01
422,BC-01R8,M,299.8,309.1,1517,38.8,45.0,0,0,0,0,0,0,Billet Caster-01,1.41
480,BC-01R9,M,303.3,313.0,1362,55.8,173.0,0,0,0,0,0,0,Billet Caster-01,2.17
48,BC-02R1,M,302.5,311.6,1484,47.0,134.0,0,0,0,0,0,0,Billet Caster-02,1.1
110,BC-02R2,M,307.8,322.22,1395,69.64,286.75,1,0,1,0,0,0,Billet Caster-02,7.98
164,BC-02R3,M,299.7,309.0,1539,50.0,44.0,0,0,0,0,0,0,Billet Caster-02,1.3
215,BC-02R4,M,305.6,314.5,1200,72.4,236.0,0,0,0,0,0,0,Billet Caster-02,0.3
273,BC-02R5,M,306.7,315.2,1200,78.3,209.0,1,1,0,0,0,0,Billet Caster-02,3.54
328,BC-02R6,M,301.4,310.6,1512,45.4,127.0,0,0,0,0,0,0,Billet Caster-02,2.05
374,BC-02R7,M,300.7,310.4,1544,42.6,84.0,0,0,0,0,0,0,Billet Caster-02,0.52
425,BC-02R8,M,301.4,310.5,1540,48.2,127.0,0,0,0,0,0,0,Billet Caster-02,1.53
484,BC-02R9,M,302.5,311.0,1460,45.9,137.0,0,0,0,0,0,0,Billet Caster-02,0.62
5,BF-01R1,H,300.9,310.3,1492,42.9,80.0,0,0,0,0,0,0,Blast Furnace-01,2.37
74,BF-01R2,H,303.5,312.4,1363,52.7,157.0,0,0,0,0,0,0,Blast Furnace-01,1.08
147,BF-01R3,H,299.7,309.2,1552,44.8,41.0,0,0,0,0,0,0,Blast Furnace-01,0.7
247,BF-01R4,H,300.9,310.0,1373,44.2,72.0,0,0,0,0,0,0,Blast Furnace-01,1.96
318,BF-01R5,H,307.2,315.8,1200,83.2,230.0,1,0,1,1,0,0,Blast Furnace-01,3.75
377,BF-01R6,H,301.5,311.2,1370,51.9,100.0,1,1,0,0,0,0,Blast Furnace-01,2.44
446,BF-01R7,H,302.1,311.1,1397,53.4,94.0,1,1,0,0,0,0,Blast Furnace-01,2.14
496,BF-01R8,H,307.7,315.8,1200,76.2,233.0,1,0,1,1,0,0,Blast Furnace-01,2.78
11,BF-02R1,H,304.9,314.2,1269,62.1,207.0,0,0,0,0,0,0,Blast Furnace-02,1.53
78,BF-02R2,H,307.51,321.24,1304,72.09,271.37,1,0,1,0,0,0,Blast Furnace-02,4.28
150,BF-02R3,H,310.53,322.38,1352,77.85,276.81,1,0,1,0,0,0,Blast Furnace-02,7.71
249,BF-02R4,H,299.6,309.2,1540,39.0,33.0,0,0,0,0,0,0,Blast Furnace-02,0.33
326,BF-02R5,H,304.2,313.3,1371,57.1,177.0,0,0,0,0,0,0,Blast Furnace-02,1.41
383,BF-02R6,H,304.8,313.3,1200,69.3,152.0,1,0,0,1,1,0,Blast Furnace-02,2.58
447,BF-02R7,H,299.4,308.7,1583,40.5,33.0,0,0,0,0,0,0,Blast Furnace-02,1.12
497,BF-02R8,H,299.6,309.0,1379,43.5,34.0,0,0,0,0,0,0,Blast Furnace-02,1.63
13,BF-03R1,H,305.5,314.8,1201,72.2,236.0,0,0,0,0,0,0,Blast Furnace-03,1.53
81,BF-03R2,H,305.51,314.9,1627,66.92,111.94,1,0,0,1,0,0,Blast Furnace-03,7.83
151,BF-03R3,H,301.4,310.8,1527,43.4,131.0,0,0,0,0,0,0,Blast Furnace-03,0.86
251,BF-03R4,H,305.2,314.7,1252,63.2,207.0,0,0,0,0,0,0,Blast Furnace-03,1.62
330,BF-03R5,H,299.4,309.0,1585,45.4,34.0,0,0,0,0,0,0,Blast Furnace-03,0.79
391,BF-03R6,H,306.0,314.7,1200,66.8,234.0,0,0,0,0,0,0,Blast Furnace-03,1.36
450,BF-03R7,H,307.1,315.7,1200,79.1,233.0,1,0,1,1,0,0,Blast Furnace-03,3.7
499,BF-03R8,H,300.5,309.8,1659,39.8,50.0,0,0,0,0,0,0,Blast Furnace-03,0.62
32,BC-01R1,H,304.6,313.6,1212,61.9,207.0,0,0,0,0,0,0,BOF Converter-01,0.85
104,BC-01R2,H,299.4,308.9,1565,45.3,31.0,0,0,0,0,0,0,BOF Converter-01,1.05
192,BC-01R3,H,300.1,309.0,1640,40.9,51.0,0,0,0,0,0,0,BOF Converter-01,1.94
275,BC-01R4,H,304.6,313.8,1278,63.9,204.0,0,0,0,0,0,0,BOF Converter-01,1.19
345,BC-01R5,H,305.0,314.2,1271,63.8,208.0,0,0,0,0,0,0,BOF Converter-01,0.3
408,BC-01R6,H,302.4,310.7,1373,50.2,102.0,1,1,0,0,0,0,BOF Converter-01,2.17
469,BC-01R7,H,299.2,308.7,1568,43.7,38.0,0,0,0,0,0,0,BOF Converter-01,0.93
33,BC-02R1,H,303.1,312.4,1399,50.4,160.0,0,0,0,0,0,0,BOF Converter-02,0.91
107,BC-02R2,H,312.29,331.77,1238,74.74,271.54,1,0,1,0,0,0,BOF Converter-02,6.66
193,BC-02R3,H,299.7,309.1,1629,41.9,55.0,0,0,0,0,0,0,BOF Converter-02,1.88
278,BC-02R4,H,303.1,311.7,1432,50.9,159.0,0,0,0,0,0,0,BOF Converter-02,1.39
350,BC-02R5,H,308.98,324.1,1509,57.75,251.25,1,0,0,0,1,0,BOF Converter-02,3.94
